winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser,date
Castano C.,Golds S.,0.0,0.0,2.5,2.5,1.14,5,2006-12-31
Sequera M.,Ivanova E.,0.0,0.0,2.5,2.5,1.66,2.1,2006-12-31
Bremond S.,Benesova I.,0.0,0.0,2.5,2.5,1.72,2,2006-12-31
Hingis M.,Bammer S.,0.0,0.0,2.5,2.5,1.08,6.5,2006-12-31
Vesnina E.,Camerin M.E.,0.0,0.0,2.5,2.5,1.57,2.25,2006-12-31
Ferguson S.,Sugiyama A.,0.0,0.0,2.5,2.5,5.0,1.14,2006-12-31
Sun T.T.,Baker L.,0.0,0.0,2.5,2.5,1.33,3,2007-01-01
Dulko G.,Myskina A.,0.0,0.0,2.5,2.5,3.75,1.22,2007-01-01
Loit E.,Birnerova E.,0.0,0.0,2.5,2.5,1.72,2,2007-01-01
Craybas J.,Nakamura A.,0.0,0.0,2.5,2.5,1.83,1.83,2007-01-01
Bartoli M.,Morita A.,0.0,0.0,2.5,2.5,1.16,4.5,2007-01-01
Pin C.,Perry S.,0.0,0.0,2.5,2.5,2.5,1.5,2007-01-01
Daniilidou E.,Kostanic J.,0.0,0.0,2.5,2.5,1.36,2.87,2007-01-01
Erakovic M.,Tu M.,0.0,0.0,2.5,2.5,2.5,1.5,2007-01-01
Razzano V.,Kanepi K.,0.0,0.0,2.5,2.5,1.83,1.83,2007-01-01
Laine E.,Johansson M.,0.0,0.0,2.5,2.5,1.53,2.37,2007-01-01
Peer S.,Shaughnessy M.,0.0,0.0,2.5,2.5,1.25,3.5,2007-01-01
Li N.,Zahlavova S.,0.0,0.0,2.5,2.5,1.16,4.5,2007-01-01
Srebotnik K.,King V.,0.0,0.0,2.5,2.5,1.53,2.37,2007-01-01
Poutchkova O.,Fedak Y.,0.0,0.0,2.5,2.5,1.5,2.5,2007-01-01
Garbin T.,Groenefeld A.L.,0.0,0.0,2.5,2.5,2.0,1.72,2007-01-01
Ivanovic A.,Vinci R.,0.0,0.0,2.5,2.5,1.19,4,2007-01-01
Pratt N.,Bovina E.,0.0,0.0,2.5,2.5,1.57,2.25,2007-01-01
Kirilenko M.,Pennetta F.,0.0,0.0,2.5,2.5,2.37,1.53,2007-01-01
Stosur S.,Peng S.,0.0,0.0,2.5,2.5,1.44,2.62,2007-01-01
Meusburger Y.,Bychkova E.,0.0,0.0,2.5,2.5,1.72,2,2007-01-02
Suarez P.,Muller M.,0.0,0.0,2.5,2.5,1.57,2.25,2007-01-02
Hantuchova D.,Cibulkova D.,0.0,0.0,2.5,2.5,1.28,3.25,2007-01-02
Granville L.,Oprandi R.,0.0,0.0,2.5,2.5,1.66,2.1,2007-01-02
Zvonareva V.,Osterloh L.,0.0,0.0,2.5,2.5,1.14,5,2007-01-02
Jankovic J.,Schruff J.,0.0,0.0,2.5,2.5,1.12,5.5,2007-01-02
Craybas J.,Dulko G.,1.3095921546231177,1.3095921546231177,2.129850790207985,2.129850790207985,1.72,2,2007-01-02
Loit E.,Bartoli M.,1.3095921546231177,1.3095921546231177,2.129850790207985,2.129850790207985,3.25,1.28,2007-01-02
Safina D.,Likhovtseva E.,0.0,0.0,2.5,2.5,1.28,3.25,2007-01-02
Castano C.,Li N.,1.3095921546231177,1.3095921546231177,2.1301550151455126,2.129850790207985,4.0,1.19,2007-01-02
Garbin T.,Bremond S.,1.3095921546231177,1.3095921546231177,2.129850790207985,2.1301550151455126,1.9,1.8,2007-01-02
Vesnina E.,Srebotnik K.,1.3095921546231177,1.3095921546231177,2.1301550151455126,2.129850790207985,2.5,1.5,2007-01-02
Hingis M.,Pratt N.,1.3095921546231177,1.3095921546231177,2.1301550151455126,2.129850790207985,1.04,9,2007-01-02
Suarez P.,Sun T.T.,1.3095921546231177,1.3095921546231177,2.129850790207985,2.1301550151455126,1.53,2.37,2007-01-03
Daniilidou E.,Erakovic M.,1.3095921546231177,1.3095921546231177,2.1301550151455126,2.1301550151455126,1.22,4,2007-01-03
Pin C.,Meusburger Y.,1.3095921546231177,1.3095921546231177,2.1301550151455126,2.129850790207985,1.53,2.37,2007-01-03
Jankovic J.,Laine E.,1.3095921546231177,1.3095921546231177,2.129850790207985,2.1301550151455126,1.14,5,2007-01-03
Razzano V.,Hantuchova D.,1.3095921546231177,1.3095921546231177,2.1301550151455126,2.129850790207985,3.25,1.28,2007-01-03
Zvonareva V.,Granville L.,1.3095921546231177,1.3095921546231177,2.129850790207985,2.129850790207985,1.28,3.25,2007-01-03
